Country,Baseline MAE,Baseline RMSE,LR_MAE,LR_RMSE,RF_MAE,RF_RMSE,Best Model
Australia,6.7,8.888,6.31,8.878,10.804,11.867,LR_MAE
Brazil,19.741,26.353,33.314,38.379,20.003,23.394,Baseline MAE
China,315.104,344.122,125.166,138.658,1018.478,1123.712,LR_MAE
Germany,39.594,46.431,40.103,47.369,80.311,87.587,Baseline MAE
India,191.838,197.188,177.671,197.597,150.54,177.041,RF_MAE
Japan,36.526,39.831,35.458,38.108,94.091,97.049,LR_MAE
Russia,44.236,50.307,61.198,67.475,34.425,40.782,RF_MAE
South Africa,12.265,17.078,13.73,18.154,15.559,19.066,Baseline MAE
United Kingdom,18.843,23.469,10.427,16.078,47.009,47.472,LR_MAE
United States,212.538,292.332,288.111,374.764,371.178,392.646,Baseline MAE
