country,year,co2,co2_per_capita,co2_5yr_rolling_mean,co2_lag1,co2_lag2,co2_lag3,co2_yoy_pct_change,ghg_intensity,country_encoded,target_co2
Australia,1993,288.78,16.294,282.67775,284.433,279.437,278.061,1.52830367784329,1.157801244976369e-09,0,293.613
Australia,1994,293.613,16.405,284.8648,288.78,284.433,279.437,1.6735923540411424,1.0494149550088436e-09,0,304.962
Australia,1995,304.962,16.853,290.245,293.613,288.78,284.433,3.865292068130488,1.2252814702309996e-09,0,311.851
Australia,1996,311.851,17.036,296.7278,304.962,293.613,288.78,2.2589699700290566,1.1782037377258146e-09,0,320.243
Australia,1997,320.243,17.306,303.8898,311.851,304.962,293.613,2.691028728463274,1.079719650229301e-09,0,334.038
Australia,1998,334.038,17.861,312.9414,320.243,311.851,304.962,4.307666365853424,1.111477160599334e-09,0,343.876
Australia,1999,343.876,18.185,322.994,334.038,320.243,311.851,2.945173902370368,1.069439976039049e-09,0,349.898
Australia,2000,349.898,18.288,331.9812,343.876,334.038,320.243,1.7512126464190647,1.114605333101432e-09,0,357.668
Australia,2001,357.668,18.469,341.1446,349.898,343.876,334.038,2.2206471600294986,1.0310929210995151e-09,0,362.425
Australia,2002,362.425,18.495,349.581,357.668,349.898,343.876,1.330004361586723,9.372428753525436e-10,0,370.784
Australia,2003,370.784,18.708,356.9302,362.425,357.668,349.898,2.306408222390832,9.484796433691307e-10,0,382.005
Australia,2004,382.005,19.056,364.556,370.784,362.425,357.668,3.0262902390610247,9.408213235618988e-10,0,385.082
Australia,2005,385.082,18.975,371.5928,382.005,370.784,362.425,0.8054868391774939,7.588653517745628e-10,0,391.373
Australia,2006,391.373,19.007,378.3338,385.082,382.005,370.784,1.6336780218239255,7.6478864264169e-10,0,398.896
Australia,2007,398.896,19.036,385.628,391.373,385.082,382.005,1.922207203869464,7.653755208440843e-10,0,404.279
Australia,2008,404.279,18.918,392.327,398.896,391.373,385.082,1.3494745497573346,8.500946972552298e-10,0,406.977
Australia,2009,406.977,18.683,397.3214,404.279,398.896,391.373,0.6673609067005648,7.364665715498164e-10,0,405.026
Australia,2010,405.026,18.293,401.3102,406.977,404.279,398.896,-0.4793882700987906,9.137720717660187e-10,0,403.874
Australia,2011,403.874,17.966,403.8104,405.026,406.977,404.279,-0.2844261849856533,8.483005382392336e-10,0,405.005
Australia,2012,405.005,17.722,405.0322,403.874,405.026,406.977,0.2800378335817477,7.493194645974191e-10,0,397.85
Australia,2013,397.85,17.122,403.7464,405.005,403.874,405.026,-1.7666448562363324,6.388503886436703e-10,0,392.61
Australia,2014,392.61,16.639,400.8730000000001,397.85,405.005,403.874,-1.317079301244195,6.02537204892176e-10,0,400.589
Australia,2015,400.589,16.727,399.9856,392.61,397.85,405.005,2.032296681184897,5.599614912311154e-10,0,409.666
