Country,Year,Scenario,CO2_Projected
Australia,2025,BAU,418.2586737657285
Australia,2025,Moderate,418.2586737657285
Australia,2025,Aggressive,418.2586737657285
Australia,2026,BAU,419.821342595797
Australia,2026,Moderate,411.42491574388106
Australia,2026,Aggressive,398.8302754660071
Australia,2027,BAU,421.2772051609017
Australia,2027,Moderate,404.4261169544656
Australia,2027,Aggressive,379.14948464481154
Australia,2028,BAU,422.6335615223326
Australia,2028,Moderate,397.27554783099265
Australia,2028,Aggressive,359.2385272939827
Australia,2029,BAU,423.8972127922325
Australia,2029,Moderate,389.9854357688539
Australia,2029,Aggressive,339.117770233786
Australia,2030,BAU,425.0744952360844
Australia,2030,Moderate,382.56704571247593
Australia,2030,Aggressive,318.80587142706327
Australia,2031,BAU,426.1713120443417
Australia,2031,Moderate,375.03075459902067
Australia,2031,Aggressive,298.3199184310391
Australia,2032,BAU,427.1931629325108
Australia,2032,Moderate,367.38612012195927
Australia,2032,Aggressive,277.675555906132
Australia,2033,BAU,428.1451717181081
Australia,2033,Moderate,359.6419442432108
Australia,2033,Aggressive,256.88710303086486
Australia,2034,BAU,429.0321120127712
Australia,2034,Moderate,351.8063318504724
Australia,2034,Aggressive,235.96766160702418
Australia,2035,BAU,429.85843115834894
Australia,2035,Moderate,343.88674492667917
Australia,2035,Aggressive,214.92921557917447
Australia,2036,BAU,430.628272526992
Australia,2036,Moderate,335.8900525710538
Australia,2036,Aggressive,193.78272263714638
Australia,2037,BAU,431.3454962970645
Australia,2037,Moderate,327.82257718576903
Australia,2037,Aggressive,172.53819851882577
Australia,2038,BAU,432.0136988090491
Australia,2038,Moderate,319.6901371186963
Australia,2038,Aggressive,151.20479458316717
Australia,2039,BAU,432.6362305985036
Australia,2039,Moderate,311.49808603092254
Australia,2039,Aggressive,129.79086917955104
Australia,2040,BAU,433.2162131964893
Australia,2040,Moderate,303.2513492375425
Australia,2040,Aggressive,108.30405329912233
Brazil,2025,BAU,486.41229828799214
Brazil,2025,Moderate,486.41229828799214
Brazil,2025,Aggressive,486.41229828799214
Brazil,2026,BAU,490.9963621362362
Brazil,2026,Moderate,481.17643489351144
Brazil,2026,Aggressive,466.4465440294244
Brazil,2027,BAU,495.3785753501773
Brazil,2027,Moderate,475.5634323361702
Brazil,2027,Aggressive,445.84071781515956
Brazil,2028,BAU,499.5678260430521
Brazil,2028,Moderate,469.5937564804689
Brazil,2028,Aggressive,424.6326521365943
Brazil,2029,BAU,503.57261095673954
Brazil,2029,Moderate,463.2868020802004
Brazil,2029,Aggressive,402.85808876539164
Brazil,2030,BAU,507.4010526950621
Brazil,2030,Moderate,456.6609474255559
Brazil,2030,Aggressive,380.55078952129656
Brazil,2031,BAU,511.0609161982518
Brazil,2031,Moderate,449.73360625446156
Brazil,2031,Aggressive,357.74264133877625
Brazil,2032,BAU,514.5596244919947
Brazil,2032,Moderate,442.5212770631154
Brazil,2032,Aggressive,334.4637559197965
Brazil,2033,BAU,517.9042737429945
Brazil,2033,Moderate,435.0395899441154
Brazil,2033,Aggressive,310.7425642457967
Brazil,2034,BAU,521.101647651594
Brazil,2034,Moderate,427.3033510743071
Brazil,2034,Aggressive,286.6059062083767
Brazil,2035,BAU,524.1582312106432
Brazil,2035,Moderate,419.32658496851457
Brazil,2035,Aggressive,262.0791156053216
Brazil,2036,BAU,527.0802238585229
Brazil,2036,Moderate,411.12257460964787
Brazil,2036,Aggressive,237.18610073633528
Brazil,2037,BAU,529.8735520529985
Brazil,2037,Moderate,402.7038995602789
Brazil,2037,Aggressive,211.94942082119937
Brazil,2038,BAU,532.5438812914088
Brazil,2038,Moderate,394.08247215564245
Brazil,2038,Aggressive,186.39035845199305
Brazil,2039,BAU,535.0966276015669
Brazil,2039,Moderate,385.26957187312814
Brazil,2039,Aggressive,160.52898828047003
Brazil,2040,BAU,537.5369685266827
Brazil,2040,Moderate,376.2758779686779
Brazil,2040,Aggressive,134.38424213167067
China,2025,BAU,10871.42982472194
China,2025,Moderate,10871.42982472194
China,2025,Aggressive,10871.42982472194
China,2026,BAU,11082.94796796793
China,2026,Moderate,10861.289008608572
China,2026,Aggressive,10528.800569569532
China,2027,BAU,11266.49720500917
China,2027,Moderate,10815.837316808802
China,2027,Aggressive,10139.847484508253
China,2028,BAU,11425.775846081771
China,2028,Moderate,10740.229295316865
China,2028,Aggressive,9711.909469169505
China,2029,BAU,11563.993176270047
China,2029,Moderate,10638.873722168444
China,2029,Aggressive,9251.194541016039
China,2030,BAU,11683.934118983554
China,2030,Moderate,10515.5407070852
China,2030,Aggressive,8762.950589237666
China,2031,BAU,11788.015349024749
China,2031,Moderate,10373.45350714178
China,2031,Aggressive,8251.610744317324
China,2032,BAU,11878.333985862237
China,2032,Moderate,10215.367227841523
China,2032,Aggressive,7720.9170908104525
China,2033,BAU,11956.709848224293
China,2033,Moderate,10043.636272508405
China,2033,Aggressive,7174.025908934575
China,2034,BAU,12024.722121394992
China,2034,Moderate,9860.272139543895
China,2034,Aggressive,6613.597166767247
China,2035,BAU,12083.741176017667
China,2035,Moderate,9666.992940814134
China,2035,Aggressive,6041.870588008834
China,2036,BAU,12134.956179518758
China,2036,Moderate,9465.265820024631
China,2036,Aggressive,5460.73028078344
China,2037,BAU,12179.399056491053
China,2037,Moderate,9256.3432829332
China,2037,Aggressive,4871.75962259642
China,2038,BAU,12217.965280811086
China,2038,Moderate,9041.294307800203
China,2038,Aggressive,4276.28784828388
China,2039,BAU,12251.431918428416
China,2039,Moderate,8821.030981268459
China,2039,Aggressive,3675.429575528524
China,2040,BAU,12280.473284368603
China,2040,Moderate,8596.331299058022
China,2040,Aggressive,3070.118321092151
Germany,2025,BAU,757.5003735235401
Germany,2025,Moderate,757.5003735235401
Germany,2025,Aggressive,757.5003735235401
Germany,2026,BAU,750.4272599260885
Germany,2026,Moderate,735.4187147275667
Germany,2026,Aggressive,712.905896929784
Germany,2027,BAU,743.3895118966242
Germany,2027,Moderate,713.6539314207591
Germany,2027,Aggressive,669.0505607069617
Germany,2028,BAU,736.3869526073072
Germany,2028,Moderate,692.2037354508687
Germany,2028,Aggressive,625.9289097162111
Germany,2029,BAU,729.4194061144368
Germany,2029,Moderate,671.0658536252819
Germany,2029,Aggressive,583.5355248915495
Germany,2030,BAU,722.4866973540308
Germany,2030,Moderate,650.2380276186277
Germany,2030,Aggressive,541.8650230155231
Germany,2031,BAU,715.5886521374267
Germany,2031,Moderate,629.7180138809355
Germany,2031,Aggressive,500.91205649619866
Germany,2032,BAU,708.7250971469057
Germany,2032,Moderate,609.5035835463389
Germany,2032,Aggressive,460.6713131454886
Germany,2033,BAU,701.8958599313373
Germany,2033,Moderate,589.5925223423234
Germany,2033,Aggressive,421.1375159588024
Germany,2034,BAU,695.1007689018468
Germany,2034,Moderate,569.9826304995144
Germany,2034,Aggressive,382.3054228960158
Germany,2035,BAU,688.3396533275037
Germany,2035,Moderate,550.6717226620029
Germany,2035,Aggressive,344.16982666375185
Germany,2036,BAU,681.6123433310323
Germany,2036,Moderate,531.6576277982052
Germany,2036,Aggressive,306.7255544989645
Germany,2037,BAU,674.9186698845433
Germany,2037,Moderate,512.9381891122529
Germany,2037,Aggressive,269.9674679538173
Germany,2038,BAU,668.2584648052866
Germany,2038,Moderate,494.5112639559121
Germany,2038,Aggressive,233.8904626818503
Germany,2039,BAU,661.6315607514264
Germany,2039,Moderate,476.37472374102697
Germany,2039,Aggressive,198.48946822542786
Germany,2040,BAU,655.0377912178353
Germany,2040,Moderate,458.5264538524847
Germany,2040,Aggressive,163.75944780445883
India,2025,BAU,2812.234152475823
India,2025,Moderate,2812.234152475823
India,2025,Aggressive,2812.234152475823
India,2026,BAU,2930.7612939180462
India,2026,Moderate,2872.1460680396854
India,2026,Aggressive,2784.223229222144
India,2027,BAU,3048.695799653058
India,2027,Moderate,2926.747967666936
India,2027,Aggressive,2743.8262196877527
India,2028,BAU,3166.040632859395
India,2028,Moderate,2976.078194887831
India,2028,Aggressive,2691.1345379304857
India,2029,BAU,3282.7987418997
India,2029,Moderate,3020.174842547724
India,2029,Aggressive,2626.2389935197602
India,2030,BAU,3398.973060394804
India,2030,Moderate,3059.0757543553236
India,2030,Aggressive,2549.229795296103
India,2031,BAU,3514.566507297432
India,2031,Moderate,3092.8185264217404
India,2031,Aggressive,2460.196555108202
India,2032,BAU,3629.581986965547
India,2032,Moderate,3121.4405087903706
India,2032,Aggressive,2359.228291527605
India,2033,BAU,3744.0223892353215
India,2033,Moderate,3144.97880695767
India,2033,Aggressive,2246.4134335411927
India,2034,BAU,3857.890589493747
India,2034,Moderate,3163.470283384873
India,2034,Aggressive,2121.8398242215612
India,2035,BAU,3971.18944875088
India,2035,Moderate,3176.951559000704
India,2035,Aggressive,1985.59472437544
India,2036,BAU,4083.921813711728
India,2036,Moderate,3185.459014695148
India,2036,Aggressive,1837.7648161702775
India,2037,BAU,4196.090516847771
India,2037,Moderate,3189.0287928043062
India,2037,Aggressive,1678.436206739108
India,2038,BAU,4307.698376468135
India,2038,Moderate,3187.6967985864203
India,2038,Aggressive,1507.6944317638472
India,2039,BAU,4418.748196790396
India,2039,Moderate,3181.498701689085
India,2039,Aggressive,1325.6244590371184
India,2040,BAU,4529.242768011046
India,2040,Moderate,3170.469937607732
India,2040,Aggressive,1132.3106920027615
Japan,2025,BAU,1138.721260208194
Japan,2025,Moderate,1138.721260208194
Japan,2025,Aggressive,1138.721260208194
Japan,2026,BAU,1138.7821524831531
Japan,2026,Moderate,1116.00650943349
Japan,2026,Aggressive,1081.8430448589954
Japan,2027,BAU,1138.8308663031205
Japan,2027,Moderate,1093.2776316509955
Japan,2027,Aggressive,1024.9477796728086
Japan,2028,BAU,1138.8698373590946
Japan,2028,Moderate,1070.5376471175489
Japan,2028,Aggressive,968.0393617552304
Japan,2029,BAU,1138.9010142038735
Japan,2029,Moderate,1047.7889330675637
Japan,2029,Aggressive,911.1208113630988
Japan,2030,BAU,1138.925955679697
Japan,2030,Moderate,1025.0333601117272
Japan,2030,Aggressive,854.1944667597727
